category,cluster_color_hex,cluster_color_en,ratio
Medical,#E3148C,cluster_12,0.005788996268944372
Medical,#0000B5,cluster_7,0.005758065206396028
Medical,#24D536,cluster_23,0.005210152182645434
Medical,#E97ED5,cluster_16,0.0038593645069298845
Medical,#00FC8C,cluster_17,8.535074784805951e-05
Medical,#FF00FF,cluster_15,1.4693012082220373e-05
Mind-Body-Spirit,#F7F5EB,cluster_4,0.24589772375753607
Mind-Body-Spirit,#004C00,cluster_21,0.1043789898685761
Mind-Body-Spirit,#6D808C,cluster_3,0.09713654193172154
Mind-Body-Spirit,#215C6D,cluster_10,0.0919637697516039
Mind-Body-Spirit,#B0BD90,cluster_18,0.08109144779333151
Mind-Body-Spirit,#AD1E19,cluster_8,0.07691194869628772
Mind-Body-Spirit,#AFD5DE,cluster_0,0.075173556303119
Mind-Body-Spirit,#FADAB6,cluster_20,0.047593755692256205
Mind-Body-Spirit,#DD7C16,cluster_19,0.03789361967434864
Mind-Body-Spirit,#EF806C,cluster_2,0.027146245175482298
Mind-Body-Spirit,#4184EF,cluster_22,0.024759215221841924
Mind-Body-Spirit,#58811D,cluster_1,0.022682190210018837
Mind-Body-Spirit,#FFD300,cluster_13,0.01751185765865569
Mind-Body-Spirit,#6F0C89,cluster_14,0.012474884730578234
Mind-Body-Spirit,#8F45D8,cluster_5,0.009332430313016922
Mind-Body-Spirit,#00E2F3,cluster_11,0.005711920011922396
Mind-Body-Spirit,#43CCBC,cluster_6,0.005181548769869335
Mind-Body-Spirit,#E3148C,cluster_12,0.004991298218781494
Mind-Body-Spirit,#90F118,cluster_9,0.004937677000886831
Mind-Body-Spirit,#E97ED5,cluster_16,0.0035108383594915867
Mind-Body-Spirit,#24D536,cluster_23,0.0023115634293049544
Mind-Body-Spirit,#0000B5,cluster_7,0.0013934633052807071
Mind-Body-Spirit,#00FC8C,cluster_17,1.3362281974882922e-05
Mind-Body-Spirit,#FF00FF,cluster_15,1.5184411335094227e-07
Natural-History,#F7F5EB,cluster_4,0.2545311743270402
Natural-History,#004C00,cluster_21,0.1376198542895184
Natural-History,#6D808C,cluster_3,0.11070759082329229
Natural-History,#B0BD90,cluster_18,0.09548618618286203
Natural-History,#215C6D,cluster_10,0.08550386760069828
Natural-History,#AFD5DE,cluster_0,0.07160802598866806
Natural-History,#AD1E19,cluster_8,0.0613245312484608
Natural-History,#58811D,cluster_1,0.04755307192674035
Natural-History,#FADAB6,cluster_20,0.03577996520992404
Natural-History,#DD7C16,cluster_19,0.0298449151477786
Natural-History,#EF806C,cluster_2,0.017074719045611673
Natural-History,#4184EF,cluster_22,0.012658020499720672
Natural-History,#FFD300,cluster_13,0.010943001165525426
Natural-History,#90F118,cluster_9,0.007760020984941595
Natural-History,#43CCBC,cluster_6,0.004822890809755315
Natural-History,#00E2F3,cluster_11,0.004111866474677062
Natural-History,#6F0C89,cluster_14,0.0037924005954670112
Natural-History,#24D536,cluster_23,0.003289225079442484
Natural-History,#8F45D8,cluster_5,0.002438148803993394
Natural-History,#E3148C,cluster_12,0.001440653206068287
Natural-History,#E97ED5,cluster_16,0.0012086855154040373
Natural-History,#0000B5,cluster_7,0.00036670840162359087
Natural-History,#00FC8C,cluster_17,0.00013447667278592053
Natural-History,#FF00FF,cluster_15,0.0
Personal-Development,#F7F5EB,cluster_4,0.3248479449091962
Personal-Development,#004C00,cluster_21,0.08901932221319164
Personal-Development,#6D808C,cluster_3,0.08237277141575304
Personal-Development,#AD1E19,cluster_8,0.07795014175400437
Personal-Development,#AFD5DE,cluster_0,0.06919175753070984
Personal-Development,#215C6D,cluster_10,0.06818427101423942
Personal-Development,#B0BD90,cluster_18,0.06267339712717332
Personal-Development,#DD7C16,cluster_19,0.03967844873866773
Personal-Development,#FFD300,cluster_13,0.03850325816233302
Personal-Development,#FADAB6,cluster_20,0.03580618072518695
Personal-Development,#EF806C,cluster_2,0.028038956403163638
Personal-Development,#4184EF,cluster_22,0.01676071587566168
Personal-Development,#00E2F3,cluster_11,0.011781831105420465
Personal-Development,#58811D,cluster_1,0.011689968448205414
Personal-Development,#43CCBC,cluster_6,0.009180647085850348
Personal-Development,#6F0C89,cluster_14,0.008532987361092854
Personal-Development,#8F45D8,cluster_5,0.007679331353042489
Personal-Development,#90F118,cluster_9,0.005391050374519223
Personal-Development,#E3148C,cluster_12,0.004926210060979403
Personal-Development,#24D536,cluster_23,0.003888411412299956
Personal-Development,#E97ED5,cluster_16,0.0023322529097331286
Personal-Development,#0000B5,cluster_7,0.0015526672126582662
Personal-Development,#00FC8C,cluster_17,1.6214649633636975e-05
Personal-Development,#FF00FF,cluster_15,1.2621572847275488e-06
Poetry-Drama,#F7F5EB,cluster_4,0.19763828160341995
Poetry-Drama,#004C00,cluster_21,0.19683645866138577
Poetry-Drama,#6D808C,cluster_3,0.10861273852852134
Poetry-Drama,#AD1E19,cluster_8,0.09786900587993294
Poetry-Drama,#215C6D,cluster_10,0.08726086635222773
Poetry-Drama,#B0BD90,cluster_18,0.07638686854685996
Poetry-Drama,#AFD5DE,cluster_0,0.06684309936249629
Poetry-Drama,#FADAB6,cluster_20,0.036866628589211504
Poetry-Drama,#DD7C16,cluster_19,0.02907489367349797
Poetry-Drama,#EF806C,cluster_2,0.023931146730073554
Poetry-Drama,#58811D,cluster_1,0.02073275867250441
Poetry-Drama,#FFD300,cluster_13,0.016583833294339684
Poetry-Drama,#4184EF,cluster_22,0.00848745700470496
Poetry-Drama,#00E2F3,cluster_11,0.0069330463988657295
Poetry-Drama,#43CCBC,cluster_6,0.004629603501061238
Poetry-Drama,#6F0C89,cluster_14,0.004507152012480023
